timestamp;inx;sampleNum;samplePeriodPress;breathRate;filterType;dataType;Samples
1579604577;19;762;75;250;7;1;2609
1579604577;23;762;75;250;7;1;2602
1579604577;27;762;75;250;7;1;2594
1579604577;31;762;75;250;7;1;2588
1579604577;35;762;75;250;7;1;2582
1579604577;39;762;75;250;7;1;2577
1579604577;43;762;75;250;7;1;2571
1579604577;47;762;75;250;7;1;2565
1579604577;51;762;75;250;7;1;2559
1579604577;55;762;75;250;7;1;2552
1579604577;59;762;75;250;7;1;2544
1579604577;63;762;75;250;7;1;2538
1579604577;67;762;75;250;7;1;2536
1579604578;555;763;75;250;7;1;2539
1579604578;559;763;75;250;7;1;2547
1579604578;563;763;75;250;7;1;2557
1579604578;567;763;75;250;7;1;2564
1579604578;571;763;75;250;7;1;2569
1579604578;575;763;75;250;7;1;2578
1579604578;579;763;75;250;7;1;2587
1579604578;583;763;75;250;7;1;2595
1579604578;587;763;75;250;7;1;2603
1579604578;591;763;75;250;7;1;2610
1579604578;595;763;75;250;7;1;2614
1579604578;599;763;75;250;7;1;2616
1579604578;603;763;75;250;7;1;2617
1579604579;19;764;75;275;7;1;2614
1579604579;23;764;75;275;7;1;2609
1579604579;27;764;75;275;7;1;2603
1579604579;31;764;75;275;7;1;2598
1579604579;35;764;75;275;7;1;2594
1579604579;39;764;75;275;7;1;2589
1579604579;43;764;75;275;7;1;2583
1579604579;47;764;75;275;7;1;2577
1579604579;51;764;75;275;7;1;2573
1579604579;55;764;75;275;7;1;2569
1579604579;59;764;75;275;7;1;2565
1579604579;63;764;75;275;7;1;2561
1579604579;67;764;75;275;7;1;2557
1579604580;576;765;75;275;7;1;2555
1579604580;580;765;75;275;7;1;2549
1579604580;584;765;75;275;7;1;2545
1579604580;588;765;75;275;7;1;2542
1579604580;592;765;75;275;7;1;2539
1579604580;596;765;75;275;7;1;2537
1579604580;600;765;75;275;7;1;2535
1579604580;604;765;75;275;7;1;2533
1579604580;608;765;75;275;7;1;2531
1579604580;612;765;75;275;7;1;2530
1579604580;616;765;75;275;7;1;2531
1579604580;620;765;75;275;7;1;2536
1579604580;624;765;75;275;7;1;2543
1579604581;19;766;75;275;7;1;2549
1579604581;23;766;75;275;7;1;2555
1579604581;27;766;75;275;7;1;2562
1579604581;31;766;75;275;7;1;2567
1579604581;35;766;75;275;7;1;2571
1579604581;39;766;75;275;7;1;2572
1579604581;43;766;75;275;7;1;2576
1579604581;47;766;75;275;7;1;2583
1579604581;51;766;75;275;7;1;2589
1579604581;55;766;75;275;7;1;2592
1579604581;59;766;75;275;7;1;2592
1579604581;63;766;75;275;7;1;2589
1579604581;67;766;75;275;7;1;2586
1579604582;555;767;75;222;7;1;2580
1579604582;559;767;75;222;7;1;2575
1579604582;563;767;75;222;7;1;2572
1579604582;567;767;75;222;7;1;2569
1579604582;571;767;75;222;7;1;2567
1579604582;575;767;75;222;7;1;2564
1579604582;579;767;75;222;7;1;2560
1579604582;583;767;75;222;7;1;2556
1579604582;587;767;75;222;7;1;2550
1579604582;591;767;75;222;7;1;2543
1579604582;595;767;75;222;7;1;2539
1579604582;599;767;75;222;7;1;2535
1579604582;603;767;75;222;7;1;2531
1579604583;555;768;75;222;7;1;2528
1579604583;559;768;75;222;7;1;2525
1579604583;563;768;75;222;7;1;2523
1579604583;567;768;75;222;7;1;2519
1579604583;571;768;75;222;7;1;2516
1579604583;575;768;75;222;7;1;2515
1579604583;579;768;75;222;7;1;2516
1579604583;583;768;75;222;7;1;2521
1579604583;587;768;75;222;7;1;2528
1579604583;591;768;75;222;7;1;2535
1579604583;595;768;75;222;7;1;2541
1579604583;599;768;75;222;7;1;2545
1579604583;603;768;75;222;7;1;2553
1579604584;555;769;75;222;7;1;2561
1579604584;559;769;75;222;7;1;2568
1579604584;563;769;75;222;7;1;2576
1579604584;567;769;75;222;7;1;2583
1579604584;571;769;75;222;7;1;2590
1579604584;575;769;75;222;7;1;2593
1579604584;579;769;75;222;7;1;2598
1579604584;583;769;75;222;7;1;2606
1579604584;587;769;75;222;7;1;2612
1579604584;591;769;75;222;7;1;2617
1579604584;595;769;75;222;7;1;2621
1579604584;599;769;75;222;7;1;2627
1579604584;603;769;75;222;7;1;2630
1579604585;555;770;75;190;7;1;2627
1579604585;559;770;75;190;7;1;2624
1579604585;563;770;75;190;7;1;2624
1579604585;567;770;75;190;7;1;2623
1579604585;571;770;75;190;7;1;2622
1579604585;575;770;75;190;7;1;2622
1579604585;579;770;75;190;7;1;2621
1579604585;583;770;75;190;7;1;2618
1579604585;587;770;75;190;7;1;2615
1579604585;591;770;75;190;7;1;2611
1579604585;595;770;75;190;7;1;2607
1579604585;599;770;75;190;7;1;2603
1579604585;603;770;75;190;7;1;2599
1579604586;19;771;75;190;7;1;2595
1579604586;23;771;75;190;7;1;2591
1579604586;27;771;75;190;7;1;2585
1579604586;31;771;75;190;7;1;2579
1579604586;35;771;75;190;7;1;2575
1579604586;39;771;75;190;7;1;2570
1579604586;43;771;75;190;7;1;2564
1579604586;47;771;75;190;7;1;2558
1579604586;51;771;75;190;7;1;2553
1579604586;55;771;75;190;7;1;2549
